Price,Close,High,Low,Open,Volume
Ticker,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L
Date,,,,,
2000-05-03,389.2085266113281,398.78578424526245,372.4483702854518,372.4483702854518,17601487
2000-05-04,392.1349792480469,398.21383345417615,391.46988607670363,396.7905423804239,7424099
2000-05-05,398.9187316894531,411.68835620437045,389.0754330701431,398.6526588785809,19599211
2000-05-08,397.1896057128906,402.64329824017847,393.30919306630676,393.30919306630676,16931771
2000-05-09,407.96405029296875,411.95457982594337,397.7216980857696,399.0518548040878,11075218
2000-05-10,413.0186462402344,425.6553275105835,412.22057599406514,412.35358275359187,12703366
2000-05-11,404.77154541015625,417.6741780177231,401.04703037366954,415.6789286133573,12999308
2000-05-12,389.8736267089844,403.0423339249597,379.0992487889177,401.71217737301606,15434699
2000-05-15,386.2821350097656,391.2037705005337,381.0944563416841,391.2037705005337,7350450
2000-05-16,391.73602294921875,396.3915871947661,389.7407429581068,392.40111627958936,12760706
2000-05-17,382.4246826171875,394.5292476519273,381.75958944870524,394.5292476519273,15715633
2000-05-18,385.883056640625,388.14434908459174,378.20159174395246,381.09439892645895,3789158
2000-05-19,381.3605041503906,385.75005299811295,378.03506856399264,385.75005299811295,7069925
2000-05-22,387.4793395996094,392.2014652804787,379.76432446907813,379.76432446907813,3513723
2000-05-23,401.31304931640625,405.1705414472032,396.39141425907843,397.05650729928556,5684622
2000-05-24,387.4793395996094,400.8475573694939,386.4151965103284,395.06134797735825,2546764
2000-05-25,383.48870849609375,387.34620019143716,379.0991602420475,387.08018675658553,10234010
2000-05-26,385.6169738769531,388.01124292565953,378.3009818966532,379.0991111648828,5722214
2000-05-29,385.6169738769531,385.6169738769531,385.6169738769531,385.6169738769531,0
2000-05-30,384.419921875,386.1624588032003,384.419921875,384.419921875,4219321
2000-05-31,384.419921875,384.419921875,384.419921875,384.419921875,7277342
2000-06-01,401.7121276855469,401.7121276855469,397.25494740104335,397.25494740104335,11112226
2000-06-02,397.8547058105469,402.3772917664677,396.78839540174994,396.78839540174994,8522398
2000-06-05,398.9187316894531,402.37717351780566,396.39136656515814,402.37717351780566,3080328
2000-06-06,398.38665771484375,402.3772158962277,396.3914083131541,399.0517507450744,8465088
2000-06-07,399.18475341796875,400.38190295777713,395.9923546451465,400.24892592757595,3537157
2000-06-08,402.37713623046875,405.7025710342242,397.85455202272044,397.85455202272044,10120385
2000-06-09,409.0280456542969,419.00432134769477,401.71208243607236,402.2441389933072,11612088
2000-06-12,413.0186462402344,424.32517084828964,412.35358275359187,412.35358275359187,9466276
2000-06-13,412.3536071777344,425.8841362381432,411.0234504366539,412.88569362537504,16405959
2000-06-14,404.37255859375,404.37255859375,404.37255859375,404.37255859375,6216299
2000-06-15,407.0328674316406,409.6932399427751,403.04233835394564,403.70743148172926,4947927
2000-06-16,414.2157897949219,414.8808828650389,405.7026756888343,412.3535173229925,3005231
